file name,event start time,event end time, event width,event depth,event interval
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_1,9.1554,9.1664,0.011,76.6786584695,0.1694
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_1,13.685,13.7044,0.0194,68.7242896766,0.6424
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_1,24.88,24.8856,0.0056,67.2267653111,1.9736
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_1,25.0728,25.09,0.0172,69.6754953216,0.1872
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_1,25.4568,25.461,0.0042,69.177382115,0.3668
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_1,48.6988,48.708,0.0092,68.4587916631,0.6224
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_1,54.9876,55.0046,0.017,68.503005486,1.5426
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_1,81.1608,81.1686,0.0078,68.5551551232,1.2746
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_1,99.6356,99.6454,0.0098,68.2360786033,0.9686
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_1,108.297,108.304,0.007,70.3839839565,0.8152
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_1,150.1426,150.1614,0.0188,68.7095603651,0.7374
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_1,151.2906,151.2966,0.006,68.5664978027,1.1292
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_1,166.6154,166.6272,0.0118,68.1001406498,2.6984
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_1,184.0516,184.0684,0.0168,68.5917757743,1.346
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_1,194.7938,194.8016,0.0078,67.7974641301,2.9156
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_1,201.2054,201.214,0.0086,68.9594820812,2.7638
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_1,227.954,227.9666,0.0126,68.2252451869,0.963
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_1,242.8468,242.8588,0.012,68.1447769775,2.764
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_1,246.3334,246.343,0.0096,68.9793713379,3.68934881474e+15
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_1,250.9802,250.9838,0.0036,70.3851074219,1.03
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_1,272.0218,272.025,0.0032,67.4052909851,1.0226
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_1,272.857,272.8744,0.0174,68.8522551017,0.832
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_1,287.5386,287.5442,0.0056,69.2426835414,0.8678
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_1,290.6384,290.6488,0.0104,69.2096277325,0.9362
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_1,346.1166,346.136,0.0194,68.4050575618,0.3692
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_1,377.5332,377.5422,0.009,67.0074086914,1.1624
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_1,384.4684,384.4782,0.0098,65.6143918407,1.046
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_1,386.6122,386.6154,0.0032,66.7528033447,0.0674
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_1,475.1164,475.1266,0.0102,65.0501337029,3.8372
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_1,514.7982,514.8074,0.0092,65.1968342922,1.2626
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_1,518.7734,518.7808,0.0074,65.5034225216,3.966
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_1,527.4464,527.463,0.0166,64.5724260224,1.9182
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_1,540.0014,540.0046,0.0032,81.8484919739,0.302
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_1,568.1938,568.203,0.0092,64.6967700726,0.0716
